MDSS01.LC03PRMA.CG01046,Stator Laminations WornLoose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01047,Stator Windings openshorted,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01049,Foundation WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02001,CG Oil Cooler Reduced Performance,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02002,CG Temp Reg Valve Malfunction,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02003,CG Elec Lube Oil Pump WornFaulty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02004,CG Mech Lube Oil Pump WornFaulty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02010,PD LS Pinion Gear Aft (1) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02011,PD LS Pinion Gear Fwd (2) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02012,PD HS Pinion Gear Aft (3) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02013,PD Input Shaft Fwd (4) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02014,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02015,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02016,Idler Gear Aft (7) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02017,Idler Gear Fwd (8) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02018,Idler Shaft HS Gear Aft (9) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02019,Idler Shaft HS Gear Fwd (10) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02020,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02021,GT Pinion Gear Fwd (12) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02022,SSC Fwd (13) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02023,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02024,PD Input Shaft Aft (15) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02025,Output Shaft Fwd Thrust (17F) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02026,Output Shaft Aft Thrust (17A) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02027,SCC Malfunction,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02028,MDC-HS (Idler) WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02029,MDC-LS (diesel) WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02030,Line Shaft Bearing 1 Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02031,Line Shaft Bearing 3 Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02032,GT Pinion Gear Worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02033,PD Pinion Gear Worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02036,Idle Gear Worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02037,CG Output Gear WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02038,Propulsion Diesel Flex Coupling worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02039,High Speed Coupling worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02040,Motor Misalignment,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG02041,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
